, auto_rpm = 420.822, auto_npackets = 107, prev_frac_packet = 0.813132
, auto_rpm = 420.06, auto_npackets = 108, prev_frac_packet = 0.443604
, auto_rpm = 419.917, auto_npackets = 108, prev_frac_packet = 0.110648
, auto_rpm = 420.098, auto_npackets = 107, prev_frac_packet = 0.7314
, auto_rpm = 420.138, auto_npackets = 108, prev_frac_packet = 0.341741
, auto_rpm = 420.605, auto_npackets = 107, prev_frac_packet = 0.832773
, auto_rpm = 419.367, auto_npackets = 108, prev_frac_packet = 0.640962
, auto_rpm = 420.345, auto_npackets = 108, prev_frac_packet = 0.198394
, auto_rpm = 420.02, auto_npackets = 107, prev_frac_packet = 0.839122
, auto_rpm = 419.537, auto_npackets = 108, prev_frac_packet = 0.603702
, auto_rpm = 420.073, auto_npackets = 108, prev_frac_packet = 0.23075
, auto_rpm = 420.216, auto_npackets = 107, prev_frac_packet = 0.821247
, auto_rpm = 420.015, auto_npackets = 108, prev_frac_packet = 0.463171
, auto_rpm = 419.762, auto_npackets = 108, prev_frac_packet = 0.169927
, auto_rpm = 419.961, auto_npackets = 107, prev_frac_packet = 0.825819
, auto_rpm = 420.181, auto_npackets = 108, prev_frac_packet = 0.425323
, auto_rpm = 419.461, auto_npackets = 108, prev_frac_packet = 0.209427
, auto_rpm = 420.196, auto_npackets = 107, prev_frac_packet = 0.804891
, auto_rpm = 419.95, auto_npackets = 108, prev_frac_packet = 0.463437
, auto_rpm = 419.21, auto_npackets = 108, prev_frac_packet = 0.312002
, auto_rpm = 420.95, auto_npackets = 107, prev_frac_packet = 0.714759
, auto_rpm = 420.133, auto_npackets = 108, prev_frac_packet = 0.326416
, auto_rpm = 419.752, auto_npackets = 108, prev_frac_packet = 0.035898
, auto_rpm = 419.761, auto_npackets = 107, prev_frac_packet = 0.743095
, auto_rpm = 419.965, auto_npackets = 108, prev_frac_packet = 0.397886
, auto_rpm = 419.577, auto_npackets = 108, prev_frac_packet = 0.152063
, auto_rpm = 420.641, auto_npackets = 107, prev_frac_packet = 0.633758
, auto_rpm = 419.754, auto_npackets = 108, prev_frac_packet = 0.342647
, auto_rpm = 419.938, auto_npackets = 108, prev_frac_packet = 0.0042496
, auto_rpm = 419.494, auto_npackets = 107, prev_frac_packet = 0.779852
, auto_rpm = 420.373, auto_npackets = 108, prev_frac_packet = 0.330101
, auto_rpm = 420.298, auto_npackets = 107, prev_frac_packet = 0.899602
, auto_rpm = 419.901, auto_npackets = 108, prev_frac_packet = 0.570798
, auto_rpm = 420.036, auto_npackets = 108, prev_frac_packet = 0.207386
, auto_rpm = 420.613, auto_npackets = 107, prev_frac_packet = 0.696262
, auto_rpm = 419.711, auto_npackets = 108, prev_frac_packet = 0.416128
, auto_rpm = 420.099, auto_npackets = 108, prev_frac_packet = 0.0366207
, auto_rpm = 420.933, auto_npackets = 107, prev_frac_packet = 0.443711
, auto_rpm = 419.824, auto_npackets = 108, prev_frac_packet = 0.134535
, auto_rpm = 419.378, auto_npackets = 107, prev_frac_packet = 0.939882
, auto_rpm = 419.534, auto_npackets = 108, prev_frac_packet = 0.705163
, auto_rpm = 420.343, auto_npackets = 108, prev_frac_packet = 0.263045
, auto_rpm = 420.333, auto_npackets = 107, prev_frac_packet = 0.823664
, auto_rpm = 419.723, auto_npackets = 108, prev_frac_packet = 0.540397
, auto_rpm = 420.175, auto_npackets = 108, prev_frac_packet = 0.141357
, auto_rpm = 420.34, auto_npackets = 107, prev_frac_packet = 0.699957
, auto_rpm = 420.696, auto_npackets = 108, prev_frac_packet = 0.167687
, auto_rpm = 419.62, auto_npackets = 107, prev_frac_packet = 0.911065
, auto_rpm = 418.725, auto_npackets = 108, prev_frac_packet = 0.884491
, auto_rpm = 419.52, auto_npackets = 108, prev_frac_packet = 0.65353
, auto_rpm = 419.991, auto_npackets = 108, prev_frac_packet = 0.301536
, auto_rpm = 420.422, auto_npackets = 107, prev_frac_packet = 0.839305
, auto_rpm = 419.067, auto_npackets = 108, prev_frac_packet = 0.724658
, auto_rpm = 420.385, auto_npackets = 108, prev_frac_packet = 0.271956
, auto_rpm = 420.306, auto_npackets = 107, prev_frac_packet = 0.839376
, auto_rpm = 420.05, auto_npackets = 108, prev_frac_packet = 0.472292
, auto_rpm = 419.706, auto_npackets = 108, prev_frac_packet = 0.193393
, auto_rpm = 419.756, auto_npackets = 107, prev_frac_packet = 0.901647
, auto_rpm = 419.839, auto_npackets = 108, prev_frac_packet = 0.588634
, auto_rpm = 419.127, auto_npackets = 108, prev_frac_packet = 0.458549
, auto_rpm = 420.453, auto_npackets = 107, prev_frac_packet = 0.988415
, auto_rpm = 420.333, auto_npackets = 108, prev_frac_packet = 0.548833
, auto_rpm = 420.432, auto_npackets = 108, prev_frac_packet = 0.0839135
, auto_rpm = 420.295, auto_npackets = 107, prev_frac_packet = 0.654158
, auto_rpm = 419.671, auto_npackets = 108, prev_frac_packet = 0.38441
, auto_rpm = 419.841, auto_npackets = 108, prev_frac_packet = 0.071067
, auto_rpm = 420.255, auto_npackets = 107, prev_frac_packet = 0.651555
, auto_rpm = 419.12, auto_npackets = 108, prev_frac_packet = 0.523373
, auto_rpm = 419.908, auto_npackets = 108, prev_frac_packet = 0.192707
, auto_rpm = 419.757, auto_npackets = 107, prev_frac_packet = 0.900743
, auto_rpm = 419.703, auto_npackets = 108, prev_frac_packet = 0.622578
, auto_rpm = 420.005, auto_npackets = 108, prev_frac_packet = 0.266997
, auto_rpm = 420.64, auto_npackets = 107, prev_frac_packet = 0.748923
, auto_rpm = 419.732, auto_npackets = 108, prev_frac_packet = 0.463538
, auto_rpm = 420.315, auto_npackets = 108, prev_frac_packet = 0.0285312
, auto_rpm = 419.935, auto_npackets = 107, prev_frac_packet = 0.690926
, auto_rpm = 420.442, auto_npackets = 108, prev_frac_packet = 0.223665
, auto_rpm = 420.453, auto_npackets = 107, prev_frac_packet = 0.75337
, auto_rpm = 419.529, auto_npackets = 108, prev_frac_packet = 0.520042
, auto_rpm = 420.385, auto_npackets = 108, prev_frac_packet = 0.0672678
, auto_rpm = 420.92, auto_npackets = 107, prev_frac_packet = 0.477643
, auto_rpm = 419.844, auto_npackets = 108, prev_frac_packet = 0.163402
, auto_rpm = 420.016, auto_npackets = 107, prev_frac_packet = 0.805062
